id,text,label
64,Dor abdominal e diarreia,Tenho sintomas e preciso de atendimento com profissional de saúde
65,eu gostaria de saber como funciona o reembolso,Quero tirar dúvida sobre reembolso
66,"Olá boa noite tudo bem?

Preciso agendar oftalmologista para meu bebê de 1 ano tem essa especialidade?",Quero indicação ou ajuda para encontrar um médico na rede credenciada
67,"Preciso cancelar o exame agendado de [DATA], não vou conseguir ir.",Falar sobre agendamento de exame
68,"Já fiz o preparo e o exame não aconteceu, preciso reagendar o mais rápido possível.",Falar sobre agendamento de exame
69,"Tosse, mialgia, febre desde ontem
A febre abaixou com uso de dipirona
Mantém a dor no corpo e muita tosse",Tenho sintomas e preciso de atendimento com profissional de saúde
70,"O atendimento demorou muito e ninguém me deu retorno, bem frustrante.",Críticas ou sugestões
71,"Minha consulta com especialista está marcada e meu encaminhamento expirou, como atualizo no fluxo?",Falar sobre agendamento de uma consulta com médico especialista
72,Tomei muitos comprimidos de propósito. Preciso de ajuda urgente.,Estou numa emergência de saúde
73,"Dor muito forte com piora rápida, não sei o que fazer, é emergência?",Estou numa emergência de saúde
74,"Sinusite mal curada. Dor na testa, e fundo dos olhos.",Tenho sintomas e preciso de atendimento com profissional de saúde
75,"Saturação deu [VALOR] e tô com muita falta de ar, é caso de ambulância?",Estou numa emergência de saúde
76,"Queria sugerir que o suporte avisasse melhor sobre prazos e status, falta transparência.",Críticas ou sugestões
77,Cancelar plano,Cancelar plano
78,Eu preciso saber o que eu pago por cada membro do plano,Entender valores do boleto
79,Para marcar oftalmologista: quais são as opções e horários disponíveis?,Falar sobre agendamento de uma consulta com médico especialista
80,Gostaria de confirmar o agendamento do exame [NOME] e o endereço do local.,Falar sobre agendamento de exame
81,Dá pra manter os irmãos com o mesmo pediatra por aqui?,Quero indicação ou ajuda para encontrar um médico na rede credenciada
82,"Atendimento ruim demais, sempre demora e ninguém resolve nada.",Críticas ou sugestões
83,quero saber se a [NOME] atende em pindamonhangaba pela cassi,Quero indicação ou ajuda para encontrar um médico na rede credenciada
84,Quero incluir minha filha como dependente no plano. Como faço?,Inclusão ou exclusão de dependentes
85,"Eu solicitei o cancelamento do plano com vocês, com data fim 15/01. No entanto, eu recebi o boleto que tem período de vigência 11/01 até 10/02. Ou seja, com valor integral sendo que eu utilizarei apenas 4 dias deste período.",Entender valores do boleto
86,Quero cancelar o plano e entender se existe fidelidade/penalidade.,Cancelar plano
87,"Olá, gostaria de saber sobre a inclusão da minha filha como faço?",Inclusão ou exclusão de dependentes
88,Tem reembolso pra pronto-socorro? Qual a lista de documentos?,Quero tirar dúvida sobre reembolso
89,Tentativa de suicídio.,Estou numa emergência de saúde
90,Quero saber se reembolsa consulta particular e como faço a solicitação.,Quero tirar dúvida sobre reembolso
91,"Estou com febre alta e rigidez no pescoço, muita dor de cabeça e luz incomoda.",Estou numa emergência de saúde
92,"Oftalmologia, preciso uma consulta com oftalmologista que atenda bebê. 
Cidade de São Paulo 
Preferência pela zona leste.",Quero indicação ou ajuda para encontrar um médico na rede credenciada
93,Por que o boleto veio mais caro este mês?,Entender valores do boleto
94,Preciso de um ortopedista credenciado na rede em Barueri/Alphaville.,Quero indicação ou ajuda para encontrar um médico na rede credenciada
95,"Cancelar plano, Como saber o valor da multa antes ?",Cancelar plano
96,O valor do boleto não bate com o que eu esperava. Pode me explicar de onde veio?,Entender valores do boleto
97,Preço passar no ortopedista novamente,Falar sobre agendamento de uma consulta com médico especialista
98,quero saber se tenho algum exame agendado,Falar sobre agendamento de exame
99,Mais uma vez o sistema me enganou e eu perdi dias por causa do preparo do exame.,Críticas ou sugestões
100,Cadastra dependente,Inclusão ou exclusão de dependentes
