id,text,label,predicted_label,score
69,"Tosse, mialgia, febre desde ontem A febre abaixou com uso de dipirona Mantém a dor no corpo e muita tosse",Tenho sintomas e preciso de atendimento com profissional de saúde,Tenho sintomas e preciso de atendimento com profissional de saúde,0.5783536434173584
70,"O atendimento demorou muito e ninguém me deu retorno, bem frustrante.",Críticas ou sugestões,Falar sobre agendamento de exame,0.2562754452228546
71,"Minha consulta com especialista está marcada e meu encaminhamento expirou, como atualizo no fluxo?",Falar sobre agendamento de uma consulta com médico especialista,Falar sobre agendamento de uma consulta com médico especialista,0.31942757964134216
72,Tomei muitos comprimidos de propósito. Preciso de ajuda urgente.,Estou numa emergência de saúde,Tenho sintomas e preciso de atendimento com profissional de saúde,0.5576945543289185
73,"Dor muito forte com piora rápida, não sei o que fazer, é emergência?",Estou numa emergência de saúde,Tenho sintomas e preciso de atendimento com profissional de saúde,0.37953758239746094
74,"Sinusite mal curada. Dor na testa, e fundo dos olhos.",Tenho sintomas e preciso de atendimento com profissional de saúde,Tenho sintomas e preciso de atendimento com profissional de saúde,0.5117493867874146
75,"Saturação deu [VALOR] e tô com muita falta de ar, é caso de ambulância?",Estou numa emergência de saúde,Tenho sintomas e preciso de atendimento com profissional de saúde,0.6238186359405518
76,"Queria sugerir que o suporte avisasse melhor sobre prazos e status, falta transparência.",Críticas ou sugestões,Críticas ou sugestões,0.34723490476608276
77,Cancelar plano,Cancelar plano,Cancelar plano,0.47362861037254333
78,Eu preciso saber o que eu pago por cada membro do plano,Entender valores do boleto,Entender valores do boleto,0.252461314201355
79,Para marcar oftalmologista: quais são as opções e horários disponíveis?,Falar sobre agendamento de uma consulta com médico especialista,Falar sobre agendamento de uma consulta com médico especialista,0.34707680344581604
80,Gostaria de confirmar o agendamento do exame [NOME] e o endereço do local.,Falar sobre agendamento de exame,Falar sobre agendamento de exame,0.4653482735157013
81,Dá pra manter os irmãos com o mesmo pediatra por aqui?,Quero indicação ou ajuda para encontrar um médico na rede credenciada,Quero indicação ou ajuda para encontrar um médico na rede credenciada,0.3325781226158142
82,"Atendimento ruim demais, sempre demora e ninguém resolve nada.",Críticas ou sugestões,Críticas ou sugestões,0.3367924690246582
83,quero saber se a [NOME] atende em pindamonhangaba pela cassi,Quero indicação ou ajuda para encontrar um médico na rede credenciada,Tenho sintomas e preciso de atendimento com profissional de saúde,0.19739334285259247
84,Quero incluir minha filha como dependente no plano. Como faço?,Inclusão ou exclusão de dependentes,Inclusão ou exclusão de dependentes,0.3779197931289673
85,"Eu solicitei o cancelamento do plano com vocês, com data fim 15/01. No entanto, eu recebi o boleto que tem período de vigência 11/01 até 10/02. Ou seja, com valor integral sendo que eu utilizarei apenas 4 dias deste período.",Entender valores do boleto,Cancelar plano,0.5005438327789307
86,Quero cancelar o plano e entender se existe fidelidade/penalidade.,Cancelar plano,Cancelar plano,0.6502971053123474
87,"Olá, gostaria de saber sobre a inclusão da minha filha como faço?",Inclusão ou exclusão de dependentes,Inclusão ou exclusão de dependentes,0.41438257694244385
88,Tem reembolso pra pronto-socorro? Qual a lista de documentos?,Quero tirar dúvida sobre reembolso,Quero tirar dúvida sobre reembolso,0.23524314165115356
89,Tentativa de suicídio.,Estou numa emergência de saúde,Tenho sintomas e preciso de atendimento com profissional de saúde,0.6889976263046265
90,Quero saber se reembolsa consulta particular e como faço a solicitação.,Quero tirar dúvida sobre reembolso,Falar sobre agendamento de uma consulta com médico especialista,0.30044764280319214
91,"Estou com febre alta e rigidez no pescoço, muita dor de cabeça e luz incomoda.",Estou numa emergência de saúde,Tenho sintomas e preciso de atendimento com profissional de saúde,0.6670645475387573
92,"Oftalmologia, preciso uma consulta com oftalmologista que atenda bebê. Cidade de São Paulo Preferência pela zona leste.",Quero indicação ou ajuda para encontrar um médico na rede credenciada,Entender valores do boleto,0.26123490929603577
93,Por que o boleto veio mais caro este mês?,Entender valores do boleto,Entender valores do boleto,0.5266079306602478
94,Preciso de um ortopedista credenciado na rede em Barueri/Alphaville.,Quero indicação ou ajuda para encontrar um médico na rede credenciada,Quero indicação ou ajuda para encontrar um médico na rede credenciada,0.20855315029621124
95,"Cancelar plano, Como saber o valor da multa antes ?",Cancelar plano,Cancelar plano,0.5781309604644775
96,O valor do boleto não bate com o que eu esperava. Pode me explicar de onde veio?,Entender valores do boleto,Entender valores do boleto,0.5792636275291443
97,Preço passar no ortopedista novamente,Falar sobre agendamento de uma consulta com médico especialista,Tenho sintomas e preciso de atendimento com profissional de saúde,0.19963999092578888
98,quero saber se tenho algum exame agendado,Falar sobre agendamento de exame,Falar sobre agendamento de exame,0.3959500193595886
99,Mais uma vez o sistema me enganou e eu perdi dias por causa do preparo do exame.,Críticas ou sugestões,Tenho sintomas e preciso de atendimento com profissional de saúde,0.3196614682674408
100,Cadastra dependente,Inclusão ou exclusão de dependentes,Tenho sintomas e preciso de atendimento com profissional de saúde,0.22256669402122498
